15:24	(54,40,90,29)
@	(167,39,30,30)
+	(218,51,31,6)
B2G	(646,37,89,35)
Lh	(751,36,44,38)
eS	(866,38,46,34)
SD4	(927,39,95,30)
Lo	(31,141,161,14)
me	(629,218,19,4)
OI	(879,205,30,15)
DUCT	(940,205,19,15)
o-	(39,176,158,121)
u	(504,216,27,27)
ae	(539,218,108,21)
UONG	(868,247,51,16)
RUOU,	(926,248,52,17)
BIA	(986,250,28,13)
te	(437,291,27,46)
>	(634,319,18,10)
ANG	(417,347,10,10)
WiET	(627,324,71,53)
Tal	(403,356,115,119)
yEU	(540,378,124,76)
yi	(731,395,20,56)
Xem	(762,401,43,16)
00:23	(812,402,53,16)
dé	(873,398,24,19)
nhan	(903,400,46,21)
thudéng	(955,399,69,22)
SI	(360,474,7,3)
xis	(412,487,28,16)
von,	(444,485,43,18)
cuinn	(492,479,42,18)
HANG,	(540,475,47,18)
CIA	(593,468,32,21)
UU	(631,468,26,18)
PAI	(664,465,32,19)
©	(766,449,40,40)
20	(825,458,34,24)
Xem	(762,527,35,14)
08:42	(802,527,45,14)
dé	(851,525,21,16)
nhan	(877,527,38,17)
thuéng	(920,526,56,19)
       	(0,327,1080,351)
  	(0,678,1080,927)
 	(0,1605,186,176)
“—	(193,575,87,40)
_	(510,598,39,20)
@	(764,571,44,44)
400	(824,583,46,20)
114.750	(46,636,103,22)
Tq	(156,633,40,30)
 	(40,670,234,64)
~~	(0,740,320,234)
1")	(70,803,13,11)
_	(79,945,16,7)
-	(173,950,12,9)
    	(542,1605,538,176)
 	(60,1781,897,173)
tuoi	(745,1663,97,80)
tre	(849,1663,71,80)
6	(552,1742,18,10)
CONG	(575,1742,39,10)
THUONG	(619,1741,58,11)
TP.HCM	(682,1742,51,10)
